Type Designator,Manufacturer,Model,Description,Engine Type,Engine Count,WTC,Class,Engine Number-Type,FAA Weight Class,ICAO WTC,CWT,SRS,LAHSO
LJ60,LEARJET,60,LandPlane,Jet,2,M,Fixed-wing,2J,S+,Medium,H,III,8
LJ35,LEARJET,C-21,LandPlane,Jet,2,M,Fixed-wing,2J,S+,Medium,H,III,9
LJ35,LEARJET,RC-35,LandPlane,Jet,2,M,Fixed-wing,2J,S+,Medium,H,III,9
LJ35,LEARJET,U-36,LandPlane,Jet,2,M,Fixed-wing,2J,S+,Medium,H,III,9
LJ35,LEARJET,UC-36,LandPlane,Jet,2,M,Fixed-wing,2J,S+,Medium,H,III,9
LJ35,LEARJET,VU-35,LandPlane,Jet,2,M,Fixed-wing,2J,S+,Medium,H,III,9
LJ55,LEARJET,VU-55,LandPlane,Jet,2,M,Fixed-wing,2J,S+,Medium,H,III,8
LJ70,LEARJET,70,LandPlane,Jet,2,M,Fixed-wing,2J,S+,Medium,H,III,6
LJ75,LEARJET,75,LandPlane,Jet,2,M,Fixed-wing,2J,S+,Medium,H,III,6
LJ75,LEARJET,75 Liberty,LandPlane,Jet,2,M,Fixed-wing,2J,S+,Medium,H,III,6
LJ75,LEARJET,Liberty,LandPlane,Jet,2,M,Fixed-wing,2J,S+,Medium,H,III,6
CNUK,LEAVENS,80 Canuck,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
CNUK,LEAVENS,Canuck,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
L380,LEDERLIN,380 Ladybug,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
L380,LEDERLIN,Ladybug,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
TLEG,LEGEND,Turbine Legend,LandPlane,Turboprop/Turboshaft,1,L,Fixed-wing,1T,S,Light,I,I,
ME62,LEGEND FLYERS,Me-262,LandPlane,Jet,2,L,Fixed-wing,2J,S+,Light,I,III,
CHIP,LEGER,Super-Chipmunk,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
A109,LEONARDO,GrandNew,Helicopter,Turboprop/Turboshaft,2,L,Helicopter,2T,S,Light,I,I,
A139,LEONARDO,MH-139 Grey Wolf,Helicopter,Turboprop/Turboshaft,2,L,Helicopter,2T,S+,Light,I,I,
A139,LEONARDO,Grey Wolf,Helicopter,Turboprop/Turboshaft,2,L,Helicopter,2T,S+,Light,I,I,
M345,LEONARDO,M-345,LandPlane,Jet,1,L,Fixed-wing,1J,S,Light,I,III,
M345,LEONARDO,T-345,LandPlane,Jet,1,L,Fixed-wing,1J,S,Light,I,III,
A109,LEONARDO,AW-109 GrandNew,Helicopter,Turboprop/Turboshaft,2,L,Helicopter,2T,S,Light,I,I,
A109,LEONARDO,AW-109 Trekker,Helicopter,Turboprop/Turboshaft,2,L,Helicopter,2T,S,Light,I,I,
A109,LEONARDO,Trekker,Helicopter,Turboprop/Turboshaft,2,L,Helicopter,2T,S,Light,I,I,
EH10,LEONARDO,AW-101,Helicopter,Turboprop/Turboshaft,3,M,Helicopter,3T,S+,Medium,H,I,
EH10,LEONARDO,HH-101 Caesar,Helicopter,Turboprop/Turboshaft,3,M,Helicopter,3T,S+,Medium,H,I,
